,age_range,sex,city,use_of_HS,frequency_of_use,reasons_no_usage,reasons_usage,km_to_use,use_if_direct_connection?,reason_if_direct_connection,chosen_train_operator,cheapest_operator,most_reliable_operator,price_evaluation,puntuality_evaluation,comfort_evaluation,frecuency_evaluation,restaurant_evaluation,customer_service_evaluation,flexible_tickets_evaluation,desired_improvements,pay_more?,HS_rating,Reducción de precios,Más conexiones y destinos nacionales,Más conexiones y destinos con Europa,Mayor puntualidad,Mayor comodidad,Mejor atención al cliente,Bonos o tarjetas de viajero frecuente,Servicios nocturnos,comunidad_autonoma,No hay buenas conexiones con mis destinos,Prefiero otros medios de transporte,No lo necesito,Demasiado caro
36,25-34,Hombre,Barcelona,Sí,1-3 veces al año,No lo necesito,Actividad profesional,100,Sí,,No tengo preferencia,Iryo,Ouigo,5,3,3,2,1,2,2,Reducción de precios;Más conexiones y destinos con Europa;Servicios nocturnos,Sí,4,1,0,1,0,0,0,0,1,Catalonia,0,0,1,0
37,25-34,Hombre,Arahal (Sevilla),No,Nunca,No lo necesito,,0,Sí,Comodidad y rapidez,Renfe,Renfe,Renfe,3,5,4,5,1,4,4,Más conexiones y destinos nacionales;Mayor puntualidad;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,No,3,0,1,0,1,0,0,1,1,Andalusia,0,0,1,0
38,35-44,Hombre,Algorta,No,Nunca,Prefiero otros medios de transporte,,200,No,el coche te da mas libertad para moverte,No tengo preferencia,Ouigo,Renfe,5,4,5,1,2,3,1,Reducción de precios,No,3,1,0,0,0,0,0,0,0,Basque Country,0,1,0,0
39,25-34,Mujer,Malaga,Sí,Menos de una vez al año,Demasiado caro,,100,Sí,Comodidad,No tengo preferencia,Iryo,Renfe,5,3,4,5,1,4,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Bonos o tarjetas de viajero frecuente,Sí,3,1,1,1,0,0,0,1,0,Andalusia,0,0,0,1
40,35-44,Hombre,Getxo,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,0,Sí,Comodidad,No tengo preferencia,Ouigo,Ouigo,3,5,4,3,3,3,4,Más conexiones y destinos con Europa;Mayor puntualidad,Sí,4,0,0,1,1,0,0,0,0,Basque Country,1,0,0,0
41,35-44,Hombre,Bilbao,Sí,Menos de una vez al año,No lo necesito,Ocio,200,Sí,más sostenible,Renfe,Ouigo,Renfe,5,5,4,4,1,2,3,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,Sí,3,0,1,1,0,0,0,0,0,Basque Country,0,0,1,0
42,25-34,Mujer,Madrid,Sí,Menos de una vez al año,Demasiado caro;Prefiero otros medios de transporte,Ocio,200,No,alto precio,No tengo preferencia,Ouigo,Renfe,4,4,4,4,2,4,4,Reducción de precios;Más conexiones y destinos nacionales;Mejor atención al cliente;Bonos o tarjetas de viajero frecuente,No,3,1,1,0,0,0,1,1,0,Community of Madrid,0,1,0,1
43,35-44,Hombre,Bilbao,Sí,1-3 veces al año,Demasiado caro;No hay buenas conexiones con mis destinos,Ocio,200,Sí,Comodidad,No tengo preferencia,Iryo,Renfe,3,3,4,2,3,2,3,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Servicios nocturnos,Sí,3,0,1,1,0,0,0,0,1,Basque Country,1,0,0,1
44,35-44,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Actividad profesional,250,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,5,4,4,3,1,5,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,Sí,3,1,1,1,0,0,0,0,0,Basque Country,1,0,0,0
45,25-34,Mujer,Sevilla,Sí,Menos de una vez al año,No lo necesito,Ocio,100,Sí,Comodidad y rapidez,Iryo,Ouigo,Iryo,5,4,3,3,1,2,3,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Servicios nocturnos,No,3,1,1,1,0,0,0,0,1,Andalusia,0,0,1,0
46,25-34,Hombre,Bilbao,Sí,Menos de una vez al año,Demasiado caro;No hay buenas conexiones con mis destinos,,300,Sí,Rapidez,No tengo preferencia,Ouigo,Renfe,4,4,4,3,1,3,3,Reducción de precios;Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente,Sí,3,1,1,0,0,0,0,1,0,Basque Country,1,0,0,1
47,35-44,Hombre,Bilbao,No,Nunca,No hay buenas conexiones con mis destinos,Ocio,400,Sí,Comodidad,Renfe,Renfe,Iryo,5,5,5,5,3,5,5,Más conexiones y destinos nacionales,Sí,3,0,1,0,0,0,0,0,0,Basque Country,1,0,0,0
48,25-34,Hombre,Bilbao,No,Nunca,No hay buenas conexiones con mis destinos,,0,Sí,Comodidad y rapidez,No tengo preferencia,Renfe,Renfe,4,5,3,4,1,3,3,Más conexiones y destinos nacionales,Sí,3,0,1,0,0,0,0,0,0,Basque Country,1,0,0,0
49,45-54,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,,200,Sí,Comodidad,No tengo preferencia,Iryo,Renfe,4,5,3,4,1,1,4,Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente,No,3,0,1,0,0,0,0,1,0,Basque Country,1,0,0,0
50,25-34,Hombre,Sevilla,Sí,1-3 veces al año,No lo necesito,Actividad profesional,450,Sí,,Iryo,Ouigo,Iryo,5,5,4,4,2,4,5,Reducción de precios;Mayor comodidad;Mejor atención al cliente,No,4,1,0,0,0,1,1,0,0,Andalusia,0,0,1,0
51,> 55,Hombre,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,250,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,4,4,3,3,2,5,4,Reducción de precios;Más conexiones y destinos con Europa;Mejor atención al cliente;Servicios nocturnos,Sí,3,1,0,1,0,0,1,0,1,Basque Country,1,0,0,0
52,25-34,Mujer,Madrid,Sí,Cada mes,Demasiado caro,Ocio,200,Sí,Comodidad y rapidez,Renfe,Iryo,Renfe,5,4,3,5,1,2,3,Reducción de precios;Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente,Sí,4,1,1,0,0,0,0,1,0,Community of Madrid,0,0,0,1
53,25-34,Hombre,Sevilla,Sí,1-3 veces al año,No hay buenas conexiones con mis destinos,Ocio,300,Sí,Comodidad,Iryo,Ouigo,Iryo,4,5,5,5,1,3,4,Reducción de precios;Más conexiones y destinos nacionales,No,4,1,1,0,0,0,0,0,0,Andalusia,1,0,0,0
54,25-34,Hombre,Castilleja De Guzman,Sí,1-3 veces al año,No lo necesito,Actividad profesional,200,Sí,Rapidez,No tengo preferencia,Ouigo,Ouigo,4,5,4,4,2,3,3,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Bonos o tarjetas de viajero frecuente,Sí,3,0,1,1,0,0,0,1,0,Andalusia,0,0,1,0
55,35-44,Hombre,Bilbao,Sí,Menos de una vez al año,Prefiero otros medios de transporte,Ocio,350,Sí,,No tengo preferencia,Ouigo,Renfe,4,4,5,4,2,4,5,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,No,3,1,1,1,0,0,0,0,0,Basque Country,0,1,0,0
56,35-44,Prefiero no decirlo,Bilbao,Sí,Menos de una vez al año,Demasiado caro;No hay buenas conexiones con mis destinos,Actividad profesional,100,Sí,,Renfe,Ouigo,Renfe,5,4,5,5,3,4,5,Reducción de precios;Más conexiones y destinos nacionales;Servicios nocturnos,No,2,1,1,0,0,0,0,0,1,Basque Country,1,0,0,1
57,25-34,Mujer,Barakaldo,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,150,Sí,Comodidad y rapidez,No tengo preferencia,Ouigo,Ouigo,5,5,4,4,2,4,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mejor atención al cliente;Servicios nocturnos,Sí,3,1,1,1,0,0,1,0,1,Basque Country,1,0,0,0
58,25-34,Hombre,Barakaldo,Sí,Menos de una vez al año,Demasiado caro;No hay buenas conexiones con mis destinos,Ocio,250,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,5,4,4,3,1,1,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,No,3,1,1,1,0,0,0,1,1,Basque Country,1,0,0,1
59,25-34,Mujer,Bilbao,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,,500,Sí,Comodidad,Renfe,Ouigo,Renfe,5,5,3,4,2,3,3,Reducción de precios;Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente;Servicios nocturnos,No,4,1,1,0,0,0,0,1,1,Basque Country,1,0,0,0
60,25-34,Hombre,Sevilla,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,200,Sí,,Renfe,Ouigo,Renfe,4,5,5,4,1,3,4,Reducción de precios;Más conexiones y destinos nacionales;Mayor puntualidad;Mayor comodidad;Mejor atención al cliente;Servicios nocturnos,Sí,3,1,1,0,1,1,1,0,1,Andalusia,1,0,0,0
61,25-34,Mujer,Reus,Sí,1-3 veces al año,Demasiado caro,Ocio,200,Sí,Comodidad,Renfe,Ouigo,Renfe,5,5,4,4,5,5,4,Reducción de precios;Más conexiones y destinos nacionales;Servicios nocturnos,No,3,1,1,0,0,0,0,0,1,Catalonia,0,0,0,1
62,25-34,Hombre,Madrid,Sí,1-3 veces al año,Prefiero otros medios de transporte;No lo necesito,Ocio,400,Sí,Rapidez,No tengo preferencia,Iryo,Renfe,5,5,3,5,1,4,5,Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Servicios nocturnos,Sí,5,0,1,1,0,0,0,0,1,Community of Madrid,0,1,1,0
63,> 55,Mujer,Ecija,Sí,1-3 veces al año,No hay buenas conexiones con mis destinos,Actividad profesional,200,Sí,Comodidad,Renfe,Ouigo,Renfe,4,5,4,5,3,4,5,Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente,Sí,4,0,1,0,0,0,0,1,0,Andalusia,1,0,0,0
64,> 55,Hombre,Ecija,Sí,1-3 veces al año,No hay buenas conexiones con mis destinos,Ocio,200,Sí,Comodidad,Renfe,Ouigo,Renfe,5,4,4,5,3,4,4,Más conexiones y destinos nacionales;Bonos o tarjetas de viajero frecuente,Sí,4,0,1,0,0,0,0,1,0,Andalusia,1,0,0,0
65,35-44,Hombre,Ronda,No,Nunca,Demasiado caro;No hay buenas conexiones con mis destinos,,100,Sí,Comodidad y rapidez,Iryo,Iryo,Iryo,5,4,4,5,3,4,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,No,2,1,1,1,0,0,0,0,0,Andalusia,1,0,0,1
66,> 55,Mujer,Ecija,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,200,Sí,Comodidad,No tengo preferencia,Ouigo,Renfe,4,4,4,5,2,4,5,Reducción de precios;Mejor atención al cliente;Bonos o tarjetas de viajero frecuente,Sí,3,1,0,0,0,0,1,1,0,Andalusia,1,0,0,0
67,25-34,Mujer,Ecija,Sí,1-3 veces al año,Demasiado caro;Prefiero otros medios de transporte,Ocio,200,Sí,Comodidad,No tengo preferencia,Ouigo,Ouigo,5,5,5,5,1,5,5,Reducción de precios;Más conexiones y destinos nacionales;Mayor puntualidad,No,2,1,1,0,1,0,0,0,0,Andalusia,0,1,0,1
68,45-54,Hombre,Canada Rosal,Sí,Menos de una vez al año,No lo necesito,,0,Sí,Comodidad,Renfe,Renfe,Renfe,3,4,5,1,3,4,3,Más conexiones y destinos nacionales,No,4,0,1,0,0,0,0,0,0,Andalusia,0,0,1,0
69,45-54,Hombre,Ecija,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,0,Sí,"es un placer viajar en tren y lo fiable que es
",No tengo preferencia,Ouigo,Renfe,5,5,3,5,1,3,5,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,Sí,3,1,1,1,0,0,0,0,0,Andalusia,1,0,0,0
70,> 55,Hombre,Ronda,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,100,Sí,Rapidez,Iryo,Iryo,Renfe,4,5,4,4,1,3,5,Reducción de precios;Más conexiones y destinos nacionales,No,3,1,1,0,0,0,0,0,0,Andalusia,1,0,0,0
71,25-34,Hombre,Barakaldo,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,300,Sí,Rapidez,Renfe,Iryo,Renfe,5,5,5,4,3,5,4,Reducción de precios;Más conexiones y destinos nacionales,Sí,3,1,1,0,0,0,0,0,0,Basque Country,1,0,0,0
72,45-54,Mujer,Ronda,Sí,Menos de una vez al año,No hay buenas conexiones con mis destinos,Ocio,200,Sí,Comodidad,No tengo preferencia,Iryo,Renfe,5,4,5,4,1,4,5,Reducción de precios;Más conexiones y destinos nacionales,Sí,2,1,1,0,0,0,0,0,0,Andalusia,1,0,0,0
73,> 55,Mujer,Ronda,No,Nunca,No hay buenas conexiones con mis destinos,,500,Sí,Comodidad,Renfe,Ouigo,Ouigo,5,5,3,4,1,3,4,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa;Mayor puntualidad;Bonos o tarjetas de viajero frecuente,No,4,1,1,1,1,0,0,1,0,Andalusia,1,0,0,0
74,25-34,Hombre,Cadiz,Sí,1-3 veces al año,Demasiado caro;No hay buenas conexiones con mis destinos,Ocio,300,Sí,Comodidad,Renfe,Iryo,Renfe,5,5,3,3,1,1,1,Reducción de precios;Más conexiones y destinos nacionales;Más conexiones y destinos con Europa,Sí,2,1,1,1,0,0,0,0,0,Andalusia,1,0,0,1
